INDEX,FILENAME,SPLIT
224,C0032812,train
225,C0021835,train
226,C0014727,train
227,DS000HVG,train
228,DS00076H,train
229,C0001886,train
230,C0003183,train
231,DS000DPL,train
232,C0024252,train
233,C0022963,train
234,C0000886,train
235,C0024245,train
236,DS000FBC,train
237,C0007331,train
238,C0019839,train
239,DS000U30,train
240,DS000FMH,train
241,DS000FOL,train
242,DS000N9Z,train
243,C0007158,train
244,C0001885,train
245,DS000FOM,train
246,C0018300,train
247,C0000887,train
248,C0003181,train
249,C0001365,train
250,DS000U4U,train
251,DS000GH5,train
252,C0024251,validation
253,DS000HXL,validation
254,C0007157,validation
255,DS000N9Y,validation
256,C0001276,validation
257,C0014729,validation
258,DS000QA2,validation
259,C0024544,validation
260,DS000E6N,validation
261,C0001884,validation
262,C0024545,validation
263,DS000HVI,validation
264,C0024413,validation
265,DS000FBF,validation
266,DS00003H,validation
267,C0003032,validation
268,C0006537,validation
269,DS000C52,validation
270,C0003603,validation
271,DS000IRG,validation
272,DS000W28,validation
273,DS000FE0,validation
274,DS000GWU,validation
275,C0004028,validation
276,C0003604,validation
277,DS000IGM,validation
278,C0014498,validation
279,DS000CD4,validation
280,DS000GF5,validation
281,C0015141,validation
282,DS000HK7,validation
283,C0025726,validation
284,C0005108,validation
285,DS000H4M,validation
286,C0006485,validation
287,C0004029,validation
288,C0031899,validation
289,DS000W25,validation
290,DS000AS8,train
291,C0000993,train
292,C0013343,train
293,DS000CD3,train
294,DS000W26,train
295,DS000AS7,train
296,C0006539,train
297,DS000EBD,train
298,DS000J3O,train
299,DS000O2S,train
300,DS00003I,train
301,DS000JHC,train
302,C0017031,train
303,DS000RTB,train
304,DS0009VK,train
305,DS000JHH,train
306,DS000IUA,train
307,DS000CD2,train
308,C0013224,train
309,C0010784,train
310,C0015831,train
311,DS000H5Z,train
312,C0010783,train
313,DS000IYV,train
314,DS000FE3,train
315,DS000HVZ,train
316,DS000HU8,train
317,DS000C55,train
318,DS000TO9,train
319,DS000UO1,train
320,DS000H9T,train
321,C0001629,train
322,DS000G5V,train
323,C0010831,train
324,DS000AHP,train
325,DS000IRF,train
326,DS000APU,train
327,DS000CD5,train
328,DS000IGJ,train
329,DS000H4O,train
330,DS000O2Q,train
331,DS000HB1,train
332,C0006484,train
333,C0010785,train
334,C0010631,train
335,C0010629,train
336,DS000GF6,train
337,DS000ENH,train
338,DS000NRN,train
339,C0013770,train
340,DS000RT8,train
341,C0003602,train
342,C0001635,train
343,C0017032,train
344,DS000ENG,train
345,C0014690,train
346,DS000GWT,train
347,C0015452,train
348,C0010630,train
349,DS000FL5,train
350,C0012093,train
351,DS000TO8,train
352,C0004768,train
353,DS000FE2,train
354,DS000ILS,train
355,C0014499,train
356,DS000O2T,train
357,DS000O2U,train
358,DS0009VL,train
359,DS000ILR,train
360,C0010282,train
361,DS000UO5,train
362,C0024539,train
363,C0000991,train
364,C0013342,train
365,C0009502,train
366,DS000IUB,train
367,DS0009VJ,train
368,C0009505,train
369,DS000HGB,train
370,DS000HK6,train
371,DS000GF7,train
372,DS000AHO,train
373,C0010628,train
374,DS000HB3,train
375,DS000EBC,train
376,DS000IUC,train
377,DS000FL3,train
378,C0003605,train
379,C0014686,train
380,DS00003G,train
